DATE,CUSR0000SAS
1956-01-01,20.700
1956-02-01,20.700
1956-03-01,20.700
1956-04-01,20.800
1956-05-01,20.800
1956-06-01,20.900
1956-07-01,20.900
1956-08-01,21.000
1956-09-01,21.100
1956-10-01,21.100
1956-11-01,21.200
1956-12-01,21.300
1957-01-01,21.400
1957-02-01,21.400
1957-03-01,21.600
1957-04-01,21.600
1957-05-01,21.700
1957-06-01,21.800
1957-07-01,21.800
1957-08-01,21.900
1957-09-01,22.000
1957-10-01,22.100
1957-11-01,22.200
1957-12-01,22.200
1958-01-01,22.300
1958-02-01,22.400
1958-03-01,22.400
1958-04-01,22.500
1958-05-01,22.600
1958-06-01,22.600
1958-07-01,22.700
1958-08-01,22.700
1958-09-01,22.800
1958-10-01,22.800
1958-11-01,22.800
1958-12-01,22.800
1959-01-01,22.900
1959-02-01,23.000
1959-03-01,23.000
1959-04-01,23.100
1959-05-01,23.200
1959-06-01,23.200
1959-07-01,23.300
1959-08-01,23.400
1959-09-01,23.500
1959-10-01,23.600
1959-11-01,23.600
1959-12-01,23.700
1960-01-01,23.700
1960-02-01,23.800
1960-03-01,23.900
1960-04-01,23.900
1960-05-01,24.000
1960-06-01,24.000
1960-07-01,24.100
1960-08-01,24.100
1960-09-01,24.200
1960-10-01,24.200
1960-11-01,24.300
1960-12-01,24.300
1961-01-01,24.400
1961-02-01,24.400
1961-03-01,24.400
1961-04-01,24.500
1961-05-01,24.500
1961-06-01,24.500
1961-07-01,24.500
1961-08-01,24.600
1961-09-01,24.600
1961-10-01,24.700
1961-11-01,24.700
1961-12-01,24.800
1962-01-01,24.800
1962-02-01,24.800
1962-03-01,24.900
1962-04-01,24.900
1962-05-01,25.000
1962-06-01,25.000
1962-07-01,25.100
1962-08-01,25.100
1962-09-01,25.100
1962-10-01,25.100
1962-11-01,25.200
1962-12-01,25.200
1963-01-01,25.300
1963-02-01,25.300
1963-03-01,25.300
1963-04-01,25.400
1963-05-01,25.400
1963-06-01,25.500
1963-07-01,25.500
1963-08-01,25.600
1963-09-01,25.600
1963-10-01,25.600
1963-11-01,25.700
1963-12-01,25.800
1964-01-01,25.800
1964-02-01,25.800
1964-03-01,25.800
1964-04-01,25.900
1964-05-01,25.900
1964-06-01,26.000
1964-07-01,26.000
1964-08-01,26.000
1964-09-01,26.000
1964-10-01,26.100
1964-11-01,26.200
1964-12-01,26.200
1965-01-01,26.300
1965-02-01,26.400
1965-03-01,26.400
1965-04-01,26.500
1965-05-01,26.500
1965-06-01,26.500
1965-07-01,26.600
1965-08-01,26.600
1965-09-01,26.700
1965-10-01,26.800
1965-11-01,26.900
1965-12-01,26.900
1966-01-01,27.000
1966-02-01,27.000
1966-03-01,27.100
1966-04-01,27.300
1966-05-01,27.400
1966-06-01,27.500
1966-07-01,27.700
1966-08-01,27.700
1966-09-01,27.900
1966-10-01,28.000
1966-11-01,28.200
1966-12-01,28.200
1967-01-01,28.300
1967-02-01,28.400
1967-03-01,28.500
1967-04-01,28.600
1967-05-01,28.600
1967-06-01,28.800
1967-07-01,28.800
1967-08-01,28.900
1967-09-01,29.000
1967-10-01,29.200
1967-11-01,29.200
1967-12-01,29.400
1968-01-01,29.500
1968-02-01,29.600
1968-03-01,29.800
1968-04-01,29.900
1968-05-01,30.000
1968-06-01,30.200
1968-07-01,30.400
1968-08-01,30.600
1968-09-01,30.700
1968-10-01,30.900
1968-11-01,31.000
1968-12-01,31.200
1969-01-01,31.400
1969-02-01,31.500
1969-03-01,31.800
1969-04-01,32.000
1969-05-01,32.200
1969-06-01,32.300
1969-07-01,32.500
1969-08-01,32.700
1969-09-01,33.000
1969-10-01,33.100
1969-11-01,33.300
1969-12-01,33.500
1970-01-01,33.800
1970-02-01,34.000
1970-03-01,34.400
1970-04-01,34.600
1970-05-01,34.800
1970-06-01,35.000
1970-07-01,35.200
1970-08-01,35.400
1970-09-01,35.600
1970-10-01,35.800
1970-11-01,36.000
1970-12-01,36.200
1971-01-01,36.400
1971-02-01,36.500
1971-03-01,36.500
1971-04-01,36.600
1971-05-01,36.700
1971-06-01,37.000
1971-07-01,37.100
1971-08-01,37.300
1971-09-01,37.400
1971-10-01,37.500
1971-11-01,37.600
1971-12-01,37.700
1972-01-01,37.900
1972-02-01,38.000
1972-03-01,38.100
1972-04-01,38.200
1972-05-01,38.300
1972-06-01,38.400
1972-07-01,38.500
1972-08-01,38.600
1972-09-01,38.700
1972-10-01,38.800
1972-11-01,38.900
1972-12-01,39.000
1973-01-01,39.100
1973-02-01,39.200
1973-03-01,39.400
1973-04-01,39.500
1973-05-01,39.600
1973-06-01,39.800
1973-07-01,39.900
1973-08-01,40.200
1973-09-01,40.500
1973-10-01,41.000
1973-11-01,41.300
1973-12-01,41.500
1974-01-01,41.800
1974-02-01,42.000
1974-03-01,42.400
1974-04-01,42.600
1974-05-01,43.100
1974-06-01,43.500
1974-07-01,44.000
1974-08-01,44.500
1974-09-01,45.000
1974-10-01,45.400
1974-11-01,45.800
1974-12-01,46.200
1975-01-01,46.500
1975-02-01,46.900
1975-03-01,47.000
1975-04-01,47.300
1975-05-01,47.500
1975-06-01,47.800
1975-07-01,48.000
1975-08-01,48.300
1975-09-01,48.700
1975-10-01,49.000
1975-11-01,49.600
1975-12-01,49.900
1976-01-01,50.500
1976-02-01,50.800
1976-03-01,51.100
1976-04-01,51.300
1976-05-01,51.400
1976-06-01,51.700
1976-07-01,52.100
1976-08-01,52.400
1976-09-01,52.800
1976-10-01,53.100
1976-11-01,53.400
1976-12-01,53.700
1977-01-01,54.100
1977-02-01,54.400
1977-03-01,54.800
1977-04-01,55.200
1977-05-01,55.400
1977-06-01,55.800
1977-07-01,56.300
1977-08-01,56.600
1977-09-01,56.900
1977-10-01,57.200
1977-11-01,57.600
1977-12-01,57.900
1978-01-01,58.300
1978-02-01,58.700
1978-03-01,59.100
1978-04-01,59.600
1978-05-01,60.000
1978-06-01,60.500
1978-07-01,61.000
1978-08-01,61.500
1978-09-01,62.100
1978-10-01,62.600
1978-11-01,63.100
1978-12-01,63.300
1979-01-01,63.800
1979-02-01,64.400
1979-03-01,64.900
1979-04-01,65.500
1979-05-01,66.200
1979-06-01,66.800
1979-07-01,67.600
1979-08-01,68.500
1979-09-01,69.200
1979-10-01,70.100
1979-11-01,71.100
1979-12-01,72.000
1980-01-01,73.100
1980-02-01,74.100
1980-03-01,75.400
1980-04-01,76.600
1980-05-01,77.600
1980-06-01,79.000
1980-07-01,78.500
1980-08-01,78.500
1980-09-01,79.000
1980-10-01,80.000
1980-11-01,81.100
1980-12-01,82.200
1981-01-01,83.000
1981-02-01,83.700
1981-03-01,84.400
1981-04-01,85.300
1981-05-01,86.400
1981-06-01,87.500
1981-07-01,88.900
1981-08-01,89.900
1981-09-01,91.200
1981-10-01,91.700
1981-11-01,92.500
1981-12-01,93.000
1982-01-01,93.500
1982-02-01,93.900
1982-03-01,94.000
1982-04-01,94.900
1982-05-01,95.700
1982-06-01,96.500
1982-07-01,97.000
1982-08-01,97.600
1982-09-01,97.600
1982-10-01,97.900
1982-11-01,97.700
1982-12-01,96.900
1983-01-01,97.500
1983-02-01,97.900
1983-03-01,98.100
1983-04-01,98.700
1983-05-01,98.900
1983-06-01,99.200
1983-07-01,99.600
1983-08-01,99.800
1983-09-01,100.200
1983-10-01,100.700
1983-11-01,101.300
1983-12-01,101.600
1984-01-01,102.100
1984-02-01,102.600
1984-03-01,103.000
1984-04-01,103.500
1984-05-01,103.900
1984-06-01,104.200
1984-07-01,104.900
1984-08-01,105.400
1984-09-01,105.900
1984-10-01,106.300
1984-11-01,106.700
1984-12-01,107.100
1985-01-01,107.400
1985-02-01,107.900
1985-03-01,108.400
1985-04-01,108.700
1985-05-01,109.400
1985-06-01,109.800
1985-07-01,110.300
1985-08-01,110.700
1985-09-01,111.000
1985-10-01,111.500
1985-11-01,112.100
1985-12-01,112.500
1986-01-01,113.100
1986-02-01,113.500
1986-03-01,114.100
1986-04-01,114.600
1986-05-01,114.800
1986-06-01,115.500
1986-07-01,115.700
1986-08-01,116.100
1986-09-01,116.500
1986-10-01,116.900
1986-11-01,117.200
1986-12-01,117.500
1987-01-01,117.900
1987-02-01,118.300
1987-03-01,118.600
1987-04-01,119.200
1987-05-01,119.600
1987-06-01,120.000
1987-07-01,120.300
1987-08-01,120.900
1987-09-01,121.400
1987-10-01,121.800
1987-11-01,122.200
1987-12-01,122.600
1988-01-01,123.000
1988-02-01,123.500
1988-03-01,123.900
1988-04-01,124.400
1988-05-01,124.800
1988-06-01,125.400
1988-07-01,125.800
1988-08-01,126.400
1988-09-01,126.900
1988-10-01,127.500
1988-11-01,127.900
1988-12-01,128.400
1989-01-01,128.900
1989-02-01,129.400
1989-03-01,130.000
1989-04-01,130.500
1989-05-01,131.100
1989-06-01,131.600
1989-07-01,132.300
1989-08-01,132.800
1989-09-01,133.100
1989-10-01,133.700
1989-11-01,134.300
1989-12-01,134.900
1990-01-01,135.400
1990-02-01,136.000
1990-03-01,136.800
1990-04-01,137.400
1990-05-01,137.900
1990-06-01,138.800
1990-07-01,139.600
1990-08-01,140.600
1990-09-01,141.100
1990-10-01,141.600
1990-11-01,142.200
1990-12-01,142.700
1991-01-01,143.700
1991-02-01,144.400
1991-03-01,144.700
1991-04-01,144.900
1991-05-01,145.400
1991-06-01,145.900
1991-07-01,146.500
1991-08-01,146.900
1991-09-01,147.600
1991-10-01,148.000
1991-11-01,148.500
1991-12-01,149.200
1992-01-01,149.600
1992-02-01,149.900
1992-03-01,150.400
1992-04-01,150.900
1992-05-01,151.300
1992-06-01,151.700
1992-07-01,152.200
1992-08-01,152.600
1992-09-01,152.900
1992-10-01,153.700
1992-11-01,154.300
1992-12-01,154.700
1993-01-01,155.300
1993-02-01,155.600
1993-03-01,156.000
1993-04-01,156.700
1993-05-01,157.300
1993-06-01,157.800
1993-07-01,158.100
1993-08-01,158.600
1993-09-01,159.000
1993-10-01,159.400
1993-11-01,159.900
1993-12-01,160.500
1994-01-01,160.800
1994-02-01,161.400
1994-03-01,162.000
1994-04-01,162.200
1994-05-01,162.400
1994-06-01,162.800
1994-07-01,163.100
1994-08-01,163.800
1994-09-01,164.100
1994-10-01,164.500
1994-11-01,165.000
1994-12-01,165.200
1995-01-01,166.000
1995-02-01,166.500
1995-03-01,167.100
1995-04-01,167.700
1995-05-01,168.100
1995-06-01,168.500
1995-07-01,168.900
1995-08-01,169.300
1995-09-01,169.700
1995-10-01,170.300
1995-11-01,170.700
1995-12-01,170.900
1996-01-01,171.500
1996-02-01,172.000
1996-03-01,172.400
1996-04-01,172.800
1996-05-01,173.400
1996-06-01,173.800
1996-07-01,174.400
1996-08-01,174.900
1996-09-01,175.400
1996-10-01,175.800
1996-11-01,176.300
1996-12-01,176.700
1997-01-01,177.300
1997-02-01,177.600
1997-03-01,178.000
1997-04-01,178.400
1997-05-01,178.700
1997-06-01,179.200
1997-07-01,179.700
1997-08-01,179.900
1997-09-01,180.400
1997-10-01,180.900
1997-11-01,181.400
1997-12-01,181.700
1998-01-01,182.100
1998-02-01,182.300
1998-03-01,182.800
1998-04-01,183.300
1998-05-01,183.700
1998-06-01,184.000
1998-07-01,184.300
1998-08-01,184.700
1998-09-01,185.100
1998-10-01,185.500
1998-11-01,186.000
1998-12-01,186.400
1999-01-01,186.600
1999-02-01,186.900
1999-03-01,187.400
1999-04-01,187.900
1999-05-01,188.100
1999-06-01,188.300
1999-07-01,188.900
1999-08-01,189.300
1999-09-01,189.800
1999-10-01,190.200
1999-11-01,190.900
1999-12-01,191.200
2000-01-01,192.000
2000-02-01,192.500
2000-03-01,193.100
2000-04-01,193.500
2000-05-01,194.000
2000-06-01,194.900
2000-07-01,195.700
2000-08-01,196.300
2000-09-01,196.900
2000-10-01,197.700
2000-11-01,198.100
2000-12-01,198.800
2001-01-01,200.600
2001-02-01,201.200
2001-03-01,201.600
2001-04-01,202.000
2001-05-01,202.700
2001-06-01,203.500
2001-07-01,203.800
2001-08-01,204.400
2001-09-01,204.500
2001-10-01,204.800
2001-11-01,205.600
2001-12-01,206.100
2002-01-01,206.800
2002-02-01,207.500
2002-03-01,207.900
2002-04-01,208.500
2002-05-01,209.000
2002-06-01,209.300
2002-07-01,209.900
2002-08-01,210.600
2002-09-01,211.100
2002-10-01,211.700
2002-11-01,212.400
2002-12-01,213.000
2003-01-01,213.700
2003-02-01,214.200
2003-03-01,215.000
2003-04-01,215.100
2003-05-01,216.000
2003-06-01,216.200
2003-07-01,216.800
2003-08-01,217.200
2003-09-01,217.800
2003-10-01,218.400
2003-11-01,218.600
2003-12-01,219.000
2004-01-01,219.700
2004-02-01,220.100
2004-03-01,220.800
2004-04-01,221.400
2004-05-01,221.900
2004-06-01,222.700
2004-07-01,223.200
2004-08-01,223.700
2004-09-01,224.200
2004-10-01,224.600
2004-11-01,225.400
2004-12-01,225.800
2005-01-01,226.200
2005-02-01,226.900
2005-03-01,228.000
2005-04-01,228.500
2005-05-01,228.900
2005-06-01,229.100
2005-07-01,229.900
2005-08-01,230.400
2005-09-01,231.400
2005-10-01,233.100
2005-11-01,234.200
2005-12-01,234.400
2006-01-01,235.500
2006-02-01,235.900
2006-03-01,236.500
2006-04-01,237.100
2006-05-01,237.800
2006-06-01,238.500
2006-07-01,239.200
2006-08-01,239.900
2006-09-01,240.700
2006-10-01,241.000
2006-11-01,241.700
2006-12-01,242.400
2007-01-01,243.214
2007-02-01,244.091
2007-03-01,244.743
2007-04-01,245.315
2007-05-01,245.896
2007-06-01,246.645
2007-07-01,247.065
2007-08-01,247.505
2007-09-01,248.248
2007-10-01,249.054
2007-11-01,249.818
2007-12-01,250.546
2008-01-01,251.254
2008-02-01,251.827
2008-03-01,252.919
2008-04-01,253.590
2008-05-01,254.677
2008-06-01,255.839
2008-07-01,257.074
2008-08-01,257.560
2008-09-01,257.582
2008-10-01,257.712
2008-11-01,257.821
2008-12-01,257.988
2009-01-01,258.453
2009-02-01,258.656
2009-03-01,258.744
2009-04-01,258.698
2009-05-01,258.584
2009-06-01,258.686
2009-07-01,258.747
2009-08-01,259.285
2009-09-01,259.523
2009-10-01,260.011
2009-11-01,260.213
2009-12-01,260.285
2010-01-01,259.833
2010-02-01,259.970
2010-03-01,260.342
2010-04-01,260.672
2010-05-01,260.932
2010-06-01,261.188
2010-07-01,261.525
2010-08-01,261.722
2010-09-01,261.884
2010-10-01,262.075
2010-11-01,262.410
2010-12-01,262.733
2011-01-01,263.159
2011-02-01,263.701
2011-03-01,264.114
2011-04-01,264.465
2011-05-01,264.860
2011-06-01,265.284
2011-07-01,265.962
2011-08-01,266.690
2011-09-01,267.123
2011-10-01,267.520
2011-11-01,267.829
2011-12-01,268.463
2012-01-01,268.940
2012-02-01,269.034
2012-03-01,269.562
2012-04-01,270.105
2012-05-01,270.363
2012-06-01,270.956
2012-07-01,271.392
2012-08-01,272.071
2012-09-01,272.691
2012-10-01,273.242
2012-11-01,273.783
2012-12-01,274.437
2013-01-01,275.121
2013-02-01,275.756
2013-03-01,276.207
2013-04-01,276.473
2013-05-01,276.955
2013-06-01,277.441
2013-07-01,278.142
2013-08-01,278.743
2013-09-01,279.396
2013-10-01,279.756
2013-11-01,280.332
2013-12-01,280.891
2014-01-01,281.729
2014-02-01,282.328
2014-03-01,283.543
2014-04-01,283.778
2014-05-01,284.678
2014-06-01,285.109
2014-07-01,285.733
2014-08-01,285.984
2014-09-01,286.388
2014-10-01,286.893
2014-11-01,287.404
2014-12-01,287.958
2015-01-01,288.584
2015-02-01,288.949
2015-03-01,289.470
2015-04-01,290.183
2015-05-01,290.543
2015-06-01,291.315
2015-07-01,292.022
2015-08-01,292.472
2015-09-01,293.125
2015-10-01,293.897
2015-11-01,294.620
2015-12-01,295.032
2016-01-01,295.760
2016-02-01,296.387
2016-03-01,297.073
2016-04-01,297.918
2016-05-01,298.863
2016-06-01,299.729
2016-07-01,300.499
2016-08-01,301.354
2016-09-01,301.954
2016-10-01,302.528
2016-11-01,303.279
2016-12-01,304.027
2017-01-01,304.837
2017-02-01,305.673
2017-03-01,305.616
2017-04-01,306.295
2017-05-01,306.913
2017-06-01,307.605
2017-07-01,308.129
2017-08-01,309.027
2017-09-01,309.656
2017-10-01,310.475
2017-11-01,310.977
2017-12-01,311.815
2018-01-01,312.589
2018-02-01,313.481
2018-03-01,314.335
2018-04-01,314.988
2018-05-01,315.813
2018-06-01,316.461
2018-07-01,317.069
2018-08-01,317.627
2018-09-01,318.184
2018-10-01,318.877
2018-11-01,319.420
2018-12-01,320.421
2019-01-01,320.838
2019-02-01,321.381
2019-03-01,322.437
2019-04-01,323.484
2019-05-01,323.953
2019-06-01,324.870
2019-07-01,325.490
2019-08-01,326.108
2019-09-01,326.958
2019-10-01,327.940
2019-11-01,328.657
2019-12-01,329.101
2020-01-01,330.139
2020-02-01,330.889
2020-03-01,331.021
2020-04-01,330.128
2020-05-01,330.000
2020-06-01,330.922
2020-07-01,332.456
2020-08-01,332.708
2020-09-01,333.129
2020-10-01,333.563
2020-11-01,334.339
2020-12-01,334.499
2021-01-01,334.545
